carbon dioxide,butane,hydrogen sulfide,ethanol,carbon disulfide,ethane,1-butanol,methanol,propane,ammonia
0.9118144056178588,0.9970794840186878,0.982,0.9727891156462585,0.9636475499890134,0.9874833332319362,0.9740029159525435,0.9796084828711257,0.9947900459984519,0.9895848145084046
0.9084577114427862,0.996742843515763,0.982,0.9727891156462585,0.963963963963964,0.9859699167557754,0.9718499820654648,0.9796084828711257,0.9939162669059878,0.9901895206243032
0.917003022281132,0.9970046750180379,0.9824063822270213,0.9727891156462585,0.9641045923972753,0.9865721860974475,0.9726043416329156,0.9792183082414898,0.9941573662380409,0.9918472866564391
0.9289739082612241,0.9973413155209627,0.984,0.9734175619026869,0.9641924851680949,0.9874389161663485,0.9737221128821827,0.9775998872322914,0.9945378253731586,0.9955406911928651
0.9337526864899967,0.9976779560238875,0.984,0.9736961451247166,0.9642979564930785,0.9883056462352495,0.9748398841314496,0.9741197461120817,0.9949182845082764,0.995467093689948
0.9329452301250335,0.9980145965268123,0.984,0.9736961451247166,0.964403427818062,0.9891723763041506,0.9759576553807167,0.973407427452294,0.9952987436433941,0.9947042098401859
0.9309010574964949,0.9981217948328506,0.984,0.9736961451247166,0.964403427818062,0.9894759155361335,0.9766763461172404,0.9765599474149117,0.9955698583589266,0.9946488294314382
0.9294866794642095,0.9979421903927803,0.984,0.9736961451247166,0.964403427818062,0.9890754662219688,0.976896186212835,0.980865258309445,0.9957042925499779,0.9946488294314382
0.9291542288557214,0.9977625859527102,0.984,0.9736961451247166,0.964403427818062,0.9886750169078042,0.9771160263084296,0.9836867862969004,0.9958387267410292,0.9937497340038007
0.9279576724076063,0.9975829815126399,0.9841877053302565,0.9736961451247166,0.964403427818062,0.9882745675936396,0.9773358664040243,0.9845024469820555,0.9959731609320805,0.9925445359432907
0.9278480965780261,0.9983014441815146,0.9850426358105158,0.9736961451247166,0.964403427818062,0.9906440418940348,0.9715136109702958,0.9845024469820555,0.9955101098295706,0.9919732441471573
0.9285294874542056,0.9979871992493765,0.9858975662907751,0.9746385954678803,0.964403427818062,0.9899763591905735,0.97160106468486,0.9845024469820555,0.9956669575621705,0.9919106296789143
0.929267527805049,0.9976729543172386,0.986,0.9755102040816327,0.9643331136014064,0.9893086764871121,0.9716885183994242,0.9857626127731312,0.9958238052947704,0.9911477456660125
0.9306303095574083,0.9973587093851005,0.986,0.9755102040816327,0.9642627993847507,0.9886409937836508,0.9717759721139884,0.9861337683523654,0.9959806530273705,0.9901895206243032
0.9307462686567166,0.9970444644529626,0.986,0.9755102040816327,0.9641924851680949,0.9879733110801894,0.9718634258285526,0.9808830118975684,0.9961375007599704,0.9890544352802904
0.932272615563339,0.9969671221679153,0.986,0.9755102040816327,0.9641221709514392,0.9878124434598611,0.9719387459496642,0.9790661127376413,0.9960703076824083,0.9884057971014493
0.9343167881918777,0.9970793020005407,0.986,0.9762233028622336,0.9641397495056031,0.9880570279060392,0.9720043591960139,0.9782802664151028,0.9958238819567168,0.9880962102527725
0.9363609608204164,0.9971914818331662,0.988,0.9764172335600907,0.9639991210722918,0.9883016123522174,0.9720699724423636,0.9798638416514855,0.9955774562310251,0.9866220735785953
0.9339768957047968,0.9973036616657917,0.988,0.9764172335600907,0.9639112283014722,0.9885461967983954,0.9721355856887133,0.9854320662559368,0.9953310305053334,0.9864671798972677
0.9020080833740437,0.99740836458819,0.9887370113590362,0.977045243281558,0.9638760711931443,0.988758661871321,0.9722084958587338,0.9857190778686081,0.9951144733201864,0.9841785278585624
0.5901354793466521,0.9974532522287728,0.989,0.9782312925170068,0.9638584926389804,0.9887141719582269,0.9723397814181206,0.9832016704593857,0.9951368644593966,0.9812043383283715
0.5569127457689589,0.9974981398693554,0.989,0.9782312925170068,0.9637002856515051,0.9886696820451327,0.9724710669775074,0.980501703199335,0.9951592555986069,0.979822481505646
0.6110345491918793,0.9975430275099382,0.991,0.9782312925170068,0.9637002856515051,0.9886251921320386,0.9726023525368942,0.9796084828711257,0.995181646737817,0.9785953177257525
0.938400212852882,0.9975879151505208,0.9906865324725038,0.9782312925170068,0.9636475499890134,0.9885807022189445,0.972733638096281,0.9848918036954656,0.9952040378770272,0.9782967137344188
0.9395024875621891,0.9975280761834913,0.989,0.9787871702541332,0.9636123928806856,0.9880330064109007,0.972646134078919,0.9869494290375204,0.9949132365041279,0.9777034559643255
0.9361895876081033,0.9974158739126556,0.989,0.9791383219954648,0.9635948143265216,0.9872337076553824,0.9724492352731824,0.9869494290375204,0.9944658388751738,0.9775815114603135
0.9223390764192987,0.9973036716418199,0.989,0.9791383219954648,0.9635245001098659,0.986434408899864,0.9722523364674459,0.9863628806100244,0.9940184412462197,0.975292859911027
0.9141623859051439,0.9971914693709841,0.989,0.9791383219954648,0.9634541858932103,0.9856351101443456,0.9720554376617094,0.9851999367165705,0.9935710436172657,0.9620614878373182
0.893486003420854,0.9971042009381119,0.989,0.9791383219954648,0.9634366073390463,0.9851663473108695,0.9719265977788921,0.9841551637737566,0.9932677828404828,0.9532069372224516
0.8846930772996353,0.9971042009381119,0.989,0.9791383219954648,0.9634366073390463,0.9858544602045418,0.9720359641262919,0.9843697380930014,0.9934690010462991,0.9538051301398023
0.874528065932452,0.9971042009381119,0.989,0.9798030412885709,0.9634190287848824,0.9865425730982142,0.9721453304736918,0.9862417863414672,0.9936702192521154,0.956644392189051
0.8622630275365093,0.9971042009381119,0.989,0.9800453514739229,0.9633487145682268,0.9872306859918866,0.9722546968210916,0.9869378144170236,0.9938714374579317,0.9388000961638188
